Sticks and Stones and Other Student Essays,Ruthe Thompson,261,July 2010
Women's Worlds: The Mcgraw-Hill Anthology of Women's Writing,Robyn Warhol-Down,262,December 2007
New York Stories: The Best Writing from Four Decades of New York Magazine,Steve Fishman,263,September 2008
The Columbia Anthology of American Poetry,Jay Parini,264,July 1995
New Playwrights: The Best Plays of 2008,Lawrence Harbison,265,February 2009
The Jazz Poetry Anthology,Sascha Feinstein,266,June 1991
New Playwrights: The Best Plays of 2006,D. L. Lepidus,267,January 2007
The Last Best Place: A Montana Anthology,William Kittredge,268,June 2003
A Place Apart: A Cape Cod Reader,Robert Finch,269,June 2009
Prison Writings in 20th-Century America,H. Bruce Franklin,270,June 1998
The Color of Gratitude: And Other Spiritual Surprises,Robert Morneau,271,September 2009
I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,272,September 2005
Growing up Poor: A Literary Anthology,Robert Coles,273,June 2002
"Drinking, Smoking and Screwing: Great Writers on Good Times",Sara Nickles,274,August 1994
Literature and Science in the Nineteenth Century: An Anthology,Laura Otis,275,August 2009
"Show &amp; Tell: Writers on Writing, Sixth Edition",Dept of Creative Writing,276,August 2009
Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,277,November 2009
"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)",Richard Wright,278,October 1991
Double-Take: A Revisionist Harlem Renaissance Anthology,Venetria Patton,279,December 2001
Hispanic-American Literature: A Brief Introduction and Anthology,Nicolas Kanellos,280,January 1997
Nineteenth-Century American Poetry,Various,281,October 1996
The Beat Book: Writings from the Beat Generation,Anne Waldman,282,July 2007
Beat Poets,Carmela Ciuraru,283,July 2002
Brooklyn Was Mine,Chris Knutsen,284,January 2008
New Playwrights: The Best Plays of 2007,Lawrence Harbison,285,July 2008
The Best American Erotic Poems: From 1800 to the Present,David Lehman,286,February 2008
The Best of the West: An Anthology of Classic Writing from the American West,Tony Hillerman,287,September 1992
Atop an Underwood: Early Stories and Other Writings,Jack Kerouac,288,November 2000
"The African American Experience: Black History and Culture Through Speeches, Letters, Editorials, Poems, Songs, and Stories",Kai Wright,289,January 2009
Best New Poets: 50 Poems from Emerging Writers,Kim Addonizio,290,November 2009
Inherit the Atchafalaya,Greg Guirard,291,July 2007
The Best American Poetry 2007,Heather McHugh,292,September 2007
The Best American Poetry 2006,Billy Collins,293,September 2006
Tales for Little Rebels: A Collection of Radical Children's Literature,Philip Nel,294,March 2010
Great American Prose Poems,David Lehman,295,March 2003
"The Literature of California, Volume 1: Native American Beginnings to 1945",Jack Hicks,296,December 2000
American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,297,April 2007
Essential Saroyan,William Saroyan,298,April 2005
No Walls of Stone: An Anthology of Literature by Deaf and Hard of Hearing Writers,Jill Jepson,299,January 2002
"Pioneers of the Black Atlantic: Five Slave Narratives from the Enlightenment, 1772-1815",Henry Louis Gates Jr.,300,November 1998
Riding Low on Streets of Gold,Judith Ortiz Cofer,301,November 2003
Fire and Ink: An Anthology of Social Action Writing,Frances Payne Adler,302,October 2009
"New York Nocturne: The City After Dark in Literature, Painting, and Photography, 1850-1950",William Chapman Sharpe,303,October 2008
Poets of World War II,Various,304,July 2002
Voices from the Harlem Renaissance,Nathan Irvin Huggins,305,January 1995
A Loving Voice II: A Caregiver's Book of More Read-Aloud Stories for the Elderly,Carolyn Banks,306,July 1994
Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,William Craft,307,February 1999
Motherland: Writings by Irish American Women about Mothers and Daughters,Caledonia Kearns,308,April 2000
